TourId iBest gBest time(ms)
0 5760.1907269941 5760.1907269941 1380
1 5847.0801370263 5760.1907269941 1363
2 5923.5701625375 5760.1907269941 1353
3 5791.0065704384 5760.1907269941 1357
4 5828.5721615090 5760.1907269941 1354
5 5967.1366810374 5760.1907269941 1340
6 5869.7693314801 5760.1907269941 1353
7 5834.6438309738 5760.1907269941 1346
8 5766.9827224956 5760.1907269941 1344
9 5676.1167815769 5676.1167815769 1357
10 5637.5275692510 5637.5275692510 1353
11 5891.3102305602 5637.5275692510 1348
12 5883.7529589007 5637.5275692510 1345
13 5822.2638920728 5637.5275692510 1350
14 5755.4229490021 5637.5275692510 1368
15 5776.5566744913 5637.5275692510 1377
16 5829.7473355796 5637.5275692510 1385
17 5540.7650135662 5540.7650135662 1375
18 5846.5901097649 5540.7650135662 1373
19 5723.7548661604 5540.7650135662 1380
20 5723.1277910136 5540.7650135662 1369
21 5770.4647696829 5540.7650135662 1371
22 5881.6065296291 5540.7650135662 1368
23 5956.1271902844 5540.7650135662 1373
24 5861.0680772422 5540.7650135662 1369
25 5821.5071825657 5540.7650135662 1354
26 5749.4337280980 5540.7650135662 1356
27 5935.6112305427 5540.7650135662 1352
28 5803.8617519191 5540.7650135662 1359
29 5869.2221430128 5540.7650135662 1357
30 5464.1304521097 5464.1304521097 1372
31 5719.2707058345 5464.1304521097 1362
32 5732.3735528409 5464.1304521097 1361
33 5673.2690025066 5464.1304521097 1358
34 5858.1914808486 5464.1304521097 1356
35 5839.8831092386 5464.1304521097 1344
36 5790.9849179952 5464.1304521097 1376
37 5754.4450241046 5464.1304521097 1379
38 5860.1447735960 5464.1304521097 1400
39 5911.6021275175 5464.1304521097 1409
40 5867.5003612540 5464.1304521097 1413
41 5618.5505647923 5464.1304521097 1420
42 5751.4373125650 5464.1304521097 1379
43 5802.3580268641 5464.1304521097 1374
44 5846.8099501357 5464.1304521097 1358
45 5748.5542113835 5464.1304521097 1354
46 5568.6774630239 5464.1304521097 1351
47 5750.7941310719 5464.1304521097 1432
48 5682.1354708661 5464.1304521097 1395
49 5700.8461620851 5464.1304521097 1419
50 5608.4082634490 5464.1304521097 1368
51 5796.0097029196 5464.1304521097 1363
52 5882.5310930456 5464.1304521097 1343
53 5662.7235205634 5464.1304521097 1357
54 5639.4534964252 5464.1304521097 1354
55 5797.4995224286 5464.1304521097 1354
56 5976.5026020169 5464.1304521097 1362
57 6021.1557445255 5464.1304521097 1355
58 5604.5972262283 5464.1304521097 1360
59 5657.6373332239 5464.1304521097 1378
60 5681.8166959397 5464.1304521097 1384
61 5696.9711336238 5464.1304521097 1384
62 5727.9260359606 5464.1304521097 1360
63 5770.0448094118 5464.1304521097 1396
64 5701.9536547118 5464.1304521097 1377
65 5641.2701448689 5464.1304521097 1372
66 5895.4698311330 5464.1304521097 1355
67 5774.9454021624 5464.1304521097 1355
