TourId iBest gBest time(ms)
0 5854.6775963860 5854.6775963860 1398
1 6006.1029057389 5854.6775963860 1398
2 5921.5647806372 5854.6775963860 1394
3 5856.8255655827 5854.6775963860 1417
4 5799.0242448924 5799.0242448924 1396
5 5967.5648861857 5799.0242448924 1393
6 5732.5536663945 5732.5536663945 1398
7 5734.2683758245 5732.5536663945 1395
8 5679.8805164789 5679.8805164789 1390
9 5764.3397180362 5679.8805164789 1386
10 5657.2962879219 5657.2962879219 1388
11 5859.7512802062 5657.2962879219 1380
12 5644.5218223472 5644.5218223472 1380
13 5844.1043422932 5644.5218223472 1371
14 5950.8608613366 5644.5218223472 1402
15 5681.3130517171 5644.5218223472 1376
16 5515.0877827394 5515.0877827394 1407
17 5610.3747578407 5515.0877827394 1412
18 5735.1443922196 5515.0877827394 1386
19 5842.3675073684 5515.0877827394 1396
20 5794.7975776582 5515.0877827394 1391
21 6239.7960167176 5515.0877827394 1397
22 5961.3197326387 5515.0877827394 1403
23 5694.6738400994 5515.0877827394 1392
24 5873.6322417746 5515.0877827394 1371
25 5710.5538315783 5515.0877827394 1378
26 6016.9744960360 5515.0877827394 1369
27 5823.1472598270 5515.0877827394 1378
28 5471.8631615461 5471.8631615461 1389
29 5932.3862144176 5471.8631615461 1397
30 5952.2543489333 5471.8631615461 1383
31 5878.4304671610 5471.8631615461 1418
32 5713.8362718085 5471.8631615461 1420
33 5819.8117377516 5471.8631615461 1396
34 5760.2464984719 5471.8631615461 1384
35 5778.2823092089 5471.8631615461 1413
36 5763.2327968209 5471.8631615461 1385
37 5782.5687829092 5471.8631615461 1390
38 5806.3718252091 5471.8631615461 1388
39 5913.7361744205 5471.8631615461 1386
40 5773.0142243537 5471.8631615461 1378
41 5908.4177207308 5471.8631615461 1408
42 5865.3666086521 5471.8631615461 1394
43 5730.5532331961 5471.8631615461 1402
44 5858.0846004470 5471.8631615461 1408
45 5702.6680155140 5471.8631615461 1410
46 5733.9433363634 5471.8631615461 1398
47 5914.0432618428 5471.8631615461 1402
48 5679.4935942315 5471.8631615461 1417
49 5667.2971887285 5471.8631615461 1397
50 5989.1185900957 5471.8631615461 1394
51 5663.5016516280 5471.8631615461 1396
52 5835.8992191259 5471.8631615461 1398
53 5758.5942207716 5471.8631615461 1403
54 5579.8313340581 5471.8631615461 1393
55 5759.1493829966 5471.8631615461 1400
56 5685.0812516740 5471.8631615461 1391
57 5783.5726646732 5471.8631615461 1385
58 5906.1874836681 5471.8631615461 1377
59 5957.2971096585 5471.8631615461 1388
60 5980.7207381592 5471.8631615461 1385
